name,busbari,busbarf,connected,report,start_time,end_time,voltage,max_flow,r,x,losses,lifetime,inv_cost,coma_cost
Zaldivar 220->Escondida 220,Zaldivar 220,Escondida 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,293.0,0.002,0.011,true,30,0,0
Nueva Zaldivar 220->Sulfuros 220,Nueva Zaldivar 220,Sulfuros 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,293.0,0.003,0.011,true,30,0,0
Domeyko 220->Sulfuros 220,Domeyko 220,Sulfuros 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,293.0,0.0,0.001,true,30,0,0
Domeyko 220->Escondida 220,Domeyko 220,Escondida 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,246.0,0.001,0.006,true,30,0,0
Atacama 220->Domeyko 220,Atacama 220,Domeyko 220,true,true,1970-01-01-00:00,2016-06-01-00:00,220,512.0,0.021,0.087,true,30,0,0
Ohiggins 220->Palestina 220,Ohiggins 220,Palestina 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,183.0,0.01,0.048,true,30,0,0
Palestina 220->Domeyko 220,Palestina 220,Domeyko 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,183.0,0.014,0.064,true,30,0,0
Mejillones 220->Ohiggins 220,Mejillones 220,Ohiggins 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,183.0,0.011,0.043,true,30,0,0
Atacama 220->Esmeralda 220,Atacama 220,Esmeralda 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,127.0,0.013,0.058,true,30,0,0
Esmeralda 220->Esmeralda 110,Esmeralda 220,Esmeralda 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,195.0,0.0,0.071,true,30,0,0
Esmeralda 110->Centro 110,Esmeralda 110,Centro 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,98.0,0.001,0.002,true,30,0,0
Esmeralda 110->La Portada 110,Esmeralda 110,La Portada 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,98.0,0.02,0.051,true,30,0,0
Esmeralda 110->Sur 110,Esmeralda 110,Sur 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,98.0,0.008,0.02,true,30,0,0
Esmeralda 110->Uribe 110,Esmeralda 110,Uribe 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,98.0,0.019,0.048,true,30,0,0
Mejillones 220->Mejillones 110,Mejillones 220,Mejillones 110,true,true,1970-01-01-00:00,3000-01-01-00:00,220,100.0,0.0,0.132,true,30,0,0
Mejillones 110->Enaex 110,Mejillones 110,Enaex 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,93.0,0.003,0.005,true,30,0,0
Mejillones 110->Lince 110,Mejillones 110,Lince 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,48.0,0.094,0.234,true,30,0,0
Pampa 110->Mejillones 110,Pampa 110,Mejillones 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,57.0,0.04,0.096,true,30,0,0
Desalant 110->Pampa 110,Desalant 110,Pampa 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,57.0,0.026,0.063,true,30,0,0
Antofagasta 110->Desalant 110,Antofagasta 110,Desalant 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,57.0,0.015,0.035,true,30,0,0
Antofagasta 110->Capricornio 110,Antofagasta 110,Capricornio 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,91.0,0.017,0.055,true,30,0,0
Antofagasta 110->La Negra 110,Antofagasta 110,La Negra 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,122.0,0.025,0.062,true,30,0,0
La Negra 110->Alto Norte 110,La Negra 110,Alto Norte 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,122.0,0.006,0.016,true,30,0,0
Capricornio 110->El Negro 110,Capricornio 110,El Negro 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,137.0,0.028,0.088,true,30,0,0
El Negro 110->Alto Norte 110,El Negro 110,Alto Norte 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,137.0,0.005,0.017,true,30,0,0
Antofagasta 013->Antofagasta 110,Antofagasta 013,Antofagasta 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,30.0,0.0,0.386,true,30,0,0
CD Antofagasta 013->Antofagasta 013,CD Antofagasta 013,Antofagasta 013,true,true,1970-01-01-00:00,3000-01-01-00:00,13.8,28.0,0.105,0.158,true,30,0,0
Crucero 220->Chuquicamata 220 II,Crucero 220,Chuquicamata 220,false,false,2014-01-01-00:00,3000-01-01-00:00,220,330.0,0.008,0.058,true,30,0,0
Salar 110->Calama 110 II,Salar 110,Calama 110,false,false,2014-01-01-00:00,3000-01-01-00:00,110,44.0,0.023,0.038,true,30,0,0
Salar 110->Calama 110 III,Salar 110,Calama 110,false,false,2014-01-01-00:00,3000-01-01-00:00,110,44.0,0.023,0.038,true,30,0,0
Salar 220->Salar 110 II,Salar 220,Salar 110,false,false,2014-01-01-00:00,3000-01-01-00:00,220,120.0,0.0,0.071,true,30,0,0
Salar 220->Salar 110 III,Salar 220,Salar 110,false,false,2014-01-01-00:00,3000-01-01-00:00,220,120.0,0.0,0.071,true,30,0,0
Dolores 110->Cerro Balcon 110,Dolores 110,Cerro Balcon 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,29.0,0.046,0.058,true,30,0,0
Cerro Balcon 110->Pozo Almonte 110,Cerro Balcon 110,Pozo Almonte 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,29.0,0.147,0.189,true,30,0,0
Pozo Almonte 220->Pozo Almonte PMT,Pozo Almonte 220,Pozo Almonte PMT,true,true,1970-01-01-00:00,3000-01-01-00:00,220,100.0,0.001,0.013,true,30,0,0
Pozo Almonte PMT->Pozo Almonte 110,Pozo Almonte PMT,Pozo Almonte 110,true,true,1970-01-01-00:00,3000-01-01-00:00,110,100.0,0.014,0.205,true,30,0,0
Pozo Almonte PMT->Pozo Almonte 13.8,Pozo Almonte PMT,Pozo Almonte 13.8,true,true,1970-01-01-00:00,3000-01-01-00:00,13.8,20.0,0.127,33.738,true,30,0,0
Pozo Almonte 110->Pozo Almonte 066,Pozo Almonte 110,Pozo Almonte 066,true,true,1970-01-01-00:00,3000-01-01-00:00,110,30.0,0.005,0.343,true,30,0,0
Capricornio 110->Salar del Carmen 110,Capricornio 110,Salar del Carmen 110,false,false,2007-01-01-00:00,3000-01-01-00:00,110,116.0,0.013,0.042,true,30,0,0
Salar del Carmen 110->Antofagasta 110,Salar del Carmen 110,Antofagasta 110,false,false,2007-01-01-00:00,3000-01-01-00:00,110,116.0,0.004,0.013,true,30,0,0
Salar del Carmen 110->Uribe 110,Salar del Carmen 110,Uribe 110,false,false,2007-01-01-00:00,3000-01-01-00:00,110,80.0,0.004,0.014,true,30,0,0
Chacaya 220->Andes 220 I,Chacaya 220,Andes 220,false,false,2018-07-01-00:00,3000-01-01-00:00,220,740.0,0.012,0.084,true,30,0,0
Chacaya 220->Andes 220 II,Chacaya 220,Andes 220,false,false,2018-07-01-00:00,3000-01-01-00:00,220,740.0,0.012,0.084,true,30,0,0
Tarapaca 220->Lagunas 220 II,Tarapaca 220,Lagunas 220,false,false,2027-01-01-00:00,3000-01-01-00:00,220,366.0,0.002,0.015,true,30,0,0
Tarapaca 220->Lagunas 220 III,Tarapaca 220,Lagunas 220,false,false,2017-01-01-00:00,3000-01-01-00:00,220,366.0,0.002,0.015,true,30,0,0
Crucero 220->Lagunas 220 II,Crucero 220,Lagunas AUX 220,false,false,1970-01-01-00:00,2019-05-01-00:00,220,183.0,0.032,0.142,true,30,0,0
Crucero 220->Nueva Victoria 220 II,Crucero 220,Nueva Victoria 220,true,true,1970-01-01-00:00,2018-09-01-00:00,220,183.0,0.033,0.136,true,30,0,0
Nueva Victoria 220->Lagunas 220 II,Nueva Victoria 220,Lagunas AUX 220,true,true,1970-01-01-00:00,3000-01-01-00:00,220,183.0,0.003,0.014,true,30,0,0
Encuentro 220->Lagunas 220 III,Encuentro 220,Lagunas AUX 220,true,true,2017-04-01-00:00,3000-01-01-00:00,220,290.0,0.032,0.142,true,30,0,0
Encuentro 220->Lagunas 220 IV,Encuentro 220,Lagunas AUX 220,true,true,2017-04-01-00:00,3000-01-01-00:00,220,290.0,0.032,0.142,true,30,0,0
Mejillones 220->Mejillones 110 I,Mejillones 220,Mejillones 110,true,true,2015-01-01-00:00,3000-01-01-00:00,220,100.0,0.0,0.132,true,30,0,0
Mejillones 220->Mejillones 110 II,Mejillones 220,Mejillones 110,true,true,2015-01-01-00:00,3000-01-01-00:00,220,100.0,0.0,0.132,true,30,0,0
Salar 110->KM6 110 I,Salar 110,KM6 110,true,true,2015-01-01-00:00,3000-01-01-00:00,110,62.0,0.005,0.014,true,30,0,0
Salar 110->KM6 110 II,Salar 110,KM6 110,true,true,2016-01-01-00:00,3000-01-01-00:00,110,62.0,0.005,0.014,true,30,0,0
Minsal 110->Minsal 023 I,Minsal 110,Minsal 023,true,true,2015-01-01-00:00,3000-01-01-00:00,110,20.0,0.0,0.337,true,30,0,0
Chuquicamata 110->KM6 110 I,Chuquicamata 110,KM6 110,true,true,2015-01-01-00:00,3000-01-01-00:00,110,100.0,0.004,0.017,true,30,0,0
Capricornio 220->Capricornio 110 I,Capricornio 220,Capricornio 110,true,true,2015-01-01-00:00,3000-01-01-00:00,220,80.0,0.0,0.161,true,30,0,0
Lagunas 220->Collahuasi 220 I,Lagunas 220,Collahuasi 220,false,false,2015-01-01-00:00,3000-01-01-00:00,220,240.0,0.01,0.049,true,30,0,0
Mejillones 220->Ohiggins 220 I,Mejillones 220,Ohiggins 220,false,false,2015-01-01-00:00,3000-01-01-00:00,220,183.0,0.011,0.043,true,30,0,0
Mejillones 220->Ohiggins 220 II,Mejillones 220,Ohiggins 220,true,true,2020-01-01-00:00,3000-01-01-00:00,220,183.0,0.011,0.043,true,30,0,0
Chacaya 220->Mejillones 220 I,Chacaya 220,Mejillones 220,false,false,2015-01-01-00:00,3000-01-01-00:00,220,332.0,0.0,0.001,true,30,0,0
Ohiggins 220->Palestina 220 I,Ohiggins 220,Palestina 220,false,false,2015-01-01-00:00,3000-01-01-00:00,220,183.0,0.008,0.033,true,30,0,0
Salar 110->Calama 110 I,Salar 110,Calama 110,false,false,2015-01-01-00:00,3000-01-01-00:00,110,44.0,0.023,0.038,true,30,0,0
Barril 220->Barril 110 I,Barril 220,Barril 110,true,true,2015-01-01-00:00,3000-01-01-00:00,220,30.0,0.0,0.4,true,30,0,0
Pozo Almonte 110->Pozo Almonte 066 I,Pozo Almonte 110,Pozo Almonte 066,true,true,2015-01-01-00:00,3000-01-01-00:00,110,30.0,0.005,0.343,true,30,0,0
Palestina 220->Domeyko 220 I,Palestina 220,Domeyko 220,false,false,2015-01-01-00:00,3000-01-01-00:00,220,183.0,0.011,0.043,true,30,0,0
Laberinto 220->Nueva Zaldivar 220 III,Laberinto 220,Nueva Zaldivar 220,false,false,2015-01-01-00:00,3000-01-01-00:00,220,183.0,0.013,0.074,true,30,0,0
Encuentro 220->Collahuasi 220 I,Encuentro 220,Collahuasi 220 Aux,true,true,1970-01-01-00:00,3000-01-01-00:00,220,170.0,0.037,0.168,true,30,0,0
Antofagasta 110->Capricornio 110 I,Antofagasta 110,Capricornio 110,true,true,2016-01-01-00:00,3000-01-01-00:00,110,76.0,0.017,0.055,true,30,0,0
Arica 110->Arica 066 I,Arica 110,Arica 066,true,true,2016-05-01-00:00,3000-01-01-00:00,110,30.0,0.0,0.197,true,30,0,0
Arica 110->Arica 066 II,Arica 110,Arica 066,true,true,2016-05-01-00:00,3000-01-01-00:00,110,30.0,0.0,0.197,true,30,0,0
Arica 110->Dolores 110 I,Arica 110,Dolores 110,true,true,2016-05-01-00:00,3000-01-01-00:00,110,29.0,0.334,0.428,true,30,0,0
Arica 110->Dolores 110 II,Arica 110,Dolores 110,true,true,2016-05-01-00:00,3000-01-01-00:00,110,29.0,0.334,0.428,true,30,0,0
Chapiquina 066->El Aguila 066 I,Chapiquina 066,El Aguila 066,true,true,2016-05-01-00:00,3000-01-01-00:00,66,48.0,0.2,0.341,true,30,0,0
El Aguila 066->Arica 066 I,El Aguila 066,Arica 066,true,true,2016-05-01-00:00,3000-01-01-00:00,66,48.0,0.253,0.433,true,30,0,0
Tarapaca 220->Condores 220 I,Tarapaca 220,Condores 220,false,false,2017-01-01-00:00,3000-01-01-00:00,220,160.0,0.013,0.058,true,30,0,0
Dolores 110->Cerro Balcon 110 I,Dolores 110,Cerro Balcon 110,true,true,2016-05-01-00:00,3000-01-01-00:00,110,29.0,0.046,0.058,true,30,0,0
