DemVegINum,DemVegAñoFRlt,DemVegAñoIni,DemVegAñoFin,DemVegBar,DemVegSisGbl,DemVegSisPri,DemVegSisSec,DemVegSisCmr,DemVegIBlo,DemVegEtaTip,MesAbr,MesMay,MesJun,MesJul,MesAgo,MesSep,MesOct,MesNov,MesDic,MesEne,MesFeb,MesMar
92,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0.946508086,0.943621696,0.967018703,0.979215154,0.971370741,0.899782639,0.969146088,0.967268409,0.93157338,0.982385371,0.977170424,0.966493633
93,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,1.020501689,1.06217758,0.992231597,1.034264225,1.01301419,1.049801072,0.998264097,1.037482185,1.11118822,0.976009946,1.013490628,1.024594148
94,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0.913587949,0.917882447,0.973312093,0.958690758,0.937895518,0.855947141,0.9830812,0.994275534,0.950438093,0.989869566,0.97977113,0.978949483
95,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,1.050380684,1.066554628,1.001003009,1.038269225,1.019677505,1.104268076,1.021307126,1.063420428,1.14511475,1.031268065,1.058330386,1.046388842
96,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0.951164553,0.932216987,0.987236218,0.950432291,0.960151895,0.915147124,1.016361528,1.036627078,0.984965712,1.035533132,1.032495212,1.027862135
97,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066242081,1.053784012,1.027161767,1.058959783,1.032154899,1.082313045,1.016590473,1.050080784,1.135703057,1.02544872,1.028963267,1.012597897
98,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015493169,0.985448683,1.02588108,1.004404456,1.00958973,0.981733787,1.025997749,1.02851039,0.970980172,1.037735202,1.031721649,1.026574404
99,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.050977479,1.039260536,1.02945686,1.0573205,1.047323723,1.093978591,1.030835525,1.031740206,1.128072134,1.021431985,1.028556025,1.012989508
100,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046397661,1.027273961,1.032259155,1.020256677,1.034210129,1.034044307,1.021953354,1.023654179,0.963458358,1.043467104,1.032275497,1.02488505
101,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.024984453,1.027199794,1.014266136,1.021866632,1.025022944,1.045796825,1.011133959,0.991411149,1.101529499,0.982918588,1.018972278,1.010922934
102,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026472511,0.993974752,1.003652917,0.997769638,1.015892728,1.019366051,1.006806025,1.016725925,0.964954997,1.039919704,1.009133326,1.006099747
103,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008567805,1.036877674,1.001427565,1.006929967,0.992423009,1.030456545,0.986660365,0.969741211,1.082009476,0.927534906,0.97672777,0.988629408
104,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0.971959815,0.96878957,0.956169224,0.967709631,0.966341527,0.966965214,0.966745118,0.961425468,0.924297938,0.997312245,0.974534096,0.974297855
105,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.034272819,1.050901947,1.003906518,1.01782074,0.997246665,1.057482593,0.995297155,0.995794143,1.094975962,0.931868929,0.996228815,0.999599238
106,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0.962481622,0.965943321,0.951689989,0.982138577,0.959808467,0.918453044,0.965949315,0.949630284,0.91887013,0.97832558,0.95469795,0.956710151
107,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,1.050473459,1.049643956,1.004413721,1.025999719,1.007814228,1.044092349,1.001835285,1.019574412,1.104070887,0.963969052,1.012836507,1.000047467
