DemIndINum,DemIndAñoFRlt,DemIndAñoIni,DemIndAñoFin,DemIndBar,DemIndSisGbl,DemIndSisPri,DemIndSisSec,DemIndSisCmr,DemIndIBlo,DemIndEtaTip,MesAbr,MesMay,MesJun,MesJul,MesAgo,MesSep,MesOct,MesNov,MesDic,MesEne,MesFeb,MesMar
82,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015492121,0.985454094,1.025881304,1.004404807,1.009591478,0.981731226,1.026002581,1.028508779,0.9709793,1.037733709,1.031713702,1.026578204
83,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.050985343,1.039265046,1.02945002,1.057324878,1.047323151,1.093972265,1.030837711,1.031741337,1.128061366,1.02142618,1.028546156,1.012994171
84,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046394063,1.027273921,1.032256665,1.020256038,1.034210405,1.034046951,1.021951855,1.02365192,0.963460507,1.043467392,1.032278178,1.024883546
85,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.024986509,1.027199948,1.014261188,1.021864101,1.025017841,1.045810679,1.011146388,0.991411914,1.101542284,0.982913918,1.018973075,1.010908858
86,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,6,EtaMes,1.026470739,0.993976186,1.003651182,0.997767068,1.015882251,1.019365034,1.006806073,1.016735271,0.96494436,1.039919571,1.009123392,1.006113287
87,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,7,EtaMes,1.008556977,1.036873913,1.001434195,1.006931983,0.992430358,1.030456711,0.986649497,0.969757114,1.082018575,0.927552136,0.976745387,0.988627387
88,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,8,EtaMes,0.97195784,0.968790851,0.956171502,0.967711606,0.966339445,0.966971245,0.966744971,0.96142423,0.924291003,0.997313858,0.974542898,0.974299858
89,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,9,EtaMes,1.034269967,1.050893678,1.003913965,1.017823961,0.997232711,1.057479117,0.995309592,0.995794318,1.09496733,0.931871829,0.99623638,0.999603221
90,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,10,EtaMes,0.962484054,0.96594636,0.951689457,0.982139061,0.959802154,0.91844891,0.965948011,0.949630094,0.91887144,0.978325309,0.954696743,0.956707522
91,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,11,EtaMes,1.05046001,1.049637106,1.004447221,1.025994712,1.007799931,1.044081337,1.001844591,1.019578689,1.104082025,0.963955234,1.01281174,1.000045756
92,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,12,EtaMes,0.946509623,0.943630673,0.967033394,0.979226158,0.971377542,0.899794751,0.969147625,0.96727533,0.931573948,0.982386283,0.977165222,0.966496066
93,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,13,EtaMes,1.020490276,1.062172632,0.992241292,1.034289863,1.01301899,1.049795784,0.998279261,1.037470703,1.111171768,0.976013165,1.013478592,1.024623853
94,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,14,EtaMes,0.91357939,0.917888299,0.973328639,0.958679701,0.937882142,0.855943893,0.983090315,0.994280799,0.95043879,0.98986246,0.979763127,0.978967886
95,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,15,EtaMes,1.050403356,1.066564972,1.001003488,1.038274164,1.019676071,1.104276971,1.02128988,1.063405274,1.145102968,1.031279764,1.058334552,1.046378839
96,F,2020,2020,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,16,EtaMes,0.951159897,0.932207787,0.987238168,0.950433706,0.960147888,0.915145559,1.016368422,1.036626464,0.98497457,1.035533098,1.032494513,1.027863116
97,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,1,EtaMes,1.066251094,1.053788697,1.027162345,1.058972497,1.032166739,1.082309003,1.016589192,1.050058868,1.135715356,1.025468364,1.028959898,1.01259563
98,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,2,EtaMes,1.015492767,0.985453423,1.025880982,1.004405787,1.009590856,0.981730895,1.026002829,1.0285102,0.970979312,1.037733108,1.031712721,1.026578939
99,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,3,EtaMes,1.0509855,1.039266169,1.029450583,1.057325145,1.047322476,1.093972178,1.030838818,1.031741087,1.128060961,1.021425212,1.028545836,1.012994891
100,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,4,EtaMes,1.046394062,1.027274375,1.032256806,1.020256239,1.03421016,1.03404721,1.02195162,1.023651619,0.96346056,1.043467719,1.032278756,1.024883544
101,F,2021,2021,Diego de Almagro 220,Chile,SIC TxT,SIC TxT Norte,SIC TxT Norte,5,EtaMes,1.024982908,1.027198607,1.014258906,1.02186314,1.025017712,1.045810319,1.011145916,0.991412113,1.101543054,0.982915705,1.018972381,1.010913064
